id,chapter,question,option_count,answers,answer_count,ui_control,issues,course_source
S1-Q1,Chapitre 4 - Les juridictions,"En France, lorsqu'une décision est rendue par une juridiction du premier degré",3,2,1,radio,,"CHAP 4.pdf, p. 7"
S1-Q2,Chapitre 4 - Les juridictions,Les principes de l'organisation judiciaire sont (plusieurs réponses),6,"1,2,3,4,5",5,checkboxes,,"CHAP 4.pdf, p. 1"
S1-Q3,Chapitre 4 - Les juridictions,La Cour de cassation (plusieurs réponses),8,"1,4,7,8",4,checkboxes,,"CHAP 4.pdf, p. 8"
S1-Q4,Sans chapitre fiable,Les principes relatifs au jugement sont (plusieurs réponses),6,"3,4,5,6",4,checkboxes,NO_RELIABLE_COURSE_NOTE,
S1-Q5,Chapitre 4 - Les juridictions,"Le principe que « toute personne a droit à ce que sa cause soit entendue équitablement, publiquement dans un délai raisonnable par un tribunal indépendant et impartial... » a été énoncé par",4,3,1,radio,,"CHAP 4.pdf, p. 13"
S1-Q6,Sans chapitre fiable,Un arrêt est rendu (plusieurs réponses),4,"1,2,3",3,checkboxes,NO_RELIABLE_COURSE_NOTE,
S1-Q7,Chapitre 4 - Les juridictions,"En principe, la juridiction territorialement compétente est",4,3,1,radio,,"CHAP 4.pdf, p. 10"
S1-Q8,Chapitre 3 - La preuve des droits,Lors d'un procès la preuve incombe en principe,4,3,1,radio,,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 9"
S1-Q9,Chapitre 3 - La preuve des droits,Une présomption irréfragable,3,1,1,radio,,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 8"
S1-Q10,Chapitre 4 - Les juridictions,Les voies de recours ordinaires en justice sont :,4,"1,2",2,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"CHAP 4.pdf, p. 17"
S1-Q11,Chapitre 3 - La preuve des droits,Le système judiciaire est dit accusatoire parce que la charge de la preuve pèse,4,3,1,radio,,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 9"
S1-Q13,Sans chapitre fiable,Une présomption irréfutable,3,1,1,radio,NO_RELIABLE_COURSE_NOTE,
S1-Q14,Chapitre 3 - La preuve des droits,"Lorsqu'on déduit d'un fait connu, un fait inconnu, il s'agit",4,3,1,radio,,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 16"
